id,campaign_id,channel_id,metric_date,impressions,clicks,conversions,spend,revenue
138,6,3,2026-01-05,58523,2340,297,1649096,7386007
139,7,4,2026-01-05,9809,481,33,3011817,9624350
140,7,3,2026-01-05,106259,4814,492,309655,1996024
141,7,6,2026-01-05,76118,3779,108,4648984,21713898
142,7,5,2026-01-05,104148,5455,494,732950,2727563
143,8,2,2026-01-05,68532,1652,290,5407585,39453104
144,8,3,2026-01-05,98032,2634,284,4932620,24406328
145,8,4,2026-01-05,34451,3080,511,4170905,34127864
146,8,5,2026-01-05,89896,6958,693,6311304,26830422
147,9,3,2026-01-05,36946,1819,78,1898955,15250904
148,9,4,2026-01-05,71616,5082,212,885609,3681905
149,9,5,2026-01-05,108547,8583,638,6907852,38313890
150,9,2,2026-01-05,112551,1709,232,5223590,31234666
151,10,4,2026-01-05,68483,2799,303,4858621,23142876
152,10,2,2026-01-05,47176,3784,669,2303246,13660058
153,10,6,2026-01-05,35613,2820,241,2969056,20689067
154,10,3,2026-01-05,97435,8136,658,5867425,42564424
155,1,2,2026-01-06,70836,6191,452,1141919,8844325
156,1,4,2026-01-06,62711,1409,233,428744,2930320
157,1,1,2026-01-06,58736,4717,826,927704,4932549
158,1,5,2026-01-06,39737,1605,209,5751224,17149528
159,2,6,2026-01-06,46505,2883,467,4393200,33978318
160,2,5,2026-01-06,9705,595,34,6041159,48483772
161,2,4,2026-01-06,34817,2472,221,1125800,7950645
162,3,1,2026-01-06,44251,3662,100,6978535,19796117
163,3,4,2026-01-06,51984,2241,97,4755746,23647045
164,3,2,2026-01-06,94364,7024,331,962434,5925658
165,3,3,2026-01-06,55140,3389,198,5191876,17437986
166,4,6,2026-01-06,38466,2500,409,4202827,33232831
167,4,3,2026-01-06,93815,5253,167,3198814,26952919
168,4,4,2026-01-06,44210,2781,244,2397975,12567822
169,5,2,2026-01-06,18979,622,69,5121871,21897198
170,5,4,2026-01-06,96655,3589,633,5821631,28379487
171,5,5,2026-01-06,6061,348,45,6546734,54610346
172,6,6,2026-01-06,84569,6354,349,1894942,11796671
173,6,4,2026-01-06,93835,6724,960,6011426,45266174
174,6,3,2026-01-06,87345,1946,234,630700,2745813
175,6,1,2026-01-06,62779,1098,86,1402362,4264302
176,7,3,2026-01-06,31318,780,82,3369035,19153348
177,7,4,2026-01-06,40720,3147,192,4342032,36057555
178,7,2,2026-01-06,43684,3101,230,1266113,6723045
179,8,2,2026-01-06,117740,7738,989,3633729,30173099
180,8,6,2026-01-06,110458,6273,216,3609931,9326299
181,9,1,2026-01-06,103174,6750,766,5656539,46054134
182,9,4,2026-01-06,19201,1259,120,5497135,42907387
183,9,3,2026-01-06,78584,3111,365,5732901,16506754
184,9,5,2026-01-06,112984,5628,743,5746215,28442472
185,10,1,2026-01-06,44893,4026,155,2269645,17756694
186,10,6,2026-01-06,22781,1005,79,6533911,43639363
187,1,4,2026-01-07,90841,2037,200,3723524,30288329
188,1,5,2026-01-07,41666,727,57,4019366,20772787
189,1,2,2026-01-07,35947,2845,102,6051902,28468206
190,1,6,2026-01-07,89518,3750,313,1892229,15722987
191,2,1,2026-01-07,11629,860,50,1356326,9795208
192,2,2,2026-01-07,31896,642,91,2037761,12263853
193,2,6,2026-01-07,111568,8950,649,1537774,11120970
194,3,1,2026-01-07,75807,2562,122,5845353,45001545
195,3,3,2026-01-07,22275,358,52,2295914,13851519
196,3,2,2026-01-07,7068,198,5,6521982,32777938
197,3,6,2026-01-07,19896,1411,135,6826479,31894906
198,4,1,2026-01-07,10683,742,122,5827279,32800047
199,4,4,2026-01-07,65036,4113,102,4317991,32746742
200,4,2,2026-01-07,60872,4045,398,4020870,11825154
201,4,3,2026-01-07,15589,610,26,1358571,5638200
202,5,5,2026-01-07,83301,4564,422,5378688,27330167
203,5,6,2026-01-07,108952,7368,1152,5760284,44735732
204,5,3,2026-01-07,77264,5336,290,4087917,32002446
205,5,2,2026-01-07,59239,2394,221,3789574,26063458
206,6,4,2026-01-07,54060,4677,607,4278447,12419475
207,6,3,2026-01-07,114022,2440,217,6546064,45382395
208,6,5,2026-01-07,111400,2758,81,5010928,29414649
209,7,1,2026-01-07,103341,4828,804,731560,6079550
210,7,4,2026-01-07,83696,3216,117,4556484,17207255
211,7,3,2026-01-07,91079,4659,724,3236969,24511107
212,7,5,2026-01-07,53176,1255,81,2197159,16134459
213,8,5,2026-01-07,91223,7043,442,1813439,7506952
214,8,6,2026-01-07,104930,4005,297,351219,1260325
215,8,1,2026-01-07,23776,1366,114,1490130,10350166
216,8,3,2026-01-07,9018,197,20,3455747,17344376
217,9,2,2026-01-07,99581,3916,668,5301487,15956109
218,9,3,2026-01-07,11895,317,44,717438,4694779
219,9,5,2026-01-07,40665,1961,172,5392522,27783703
220,10,2,2026-01-07,50242,2373,155,5991555,36301666
221,10,5,2026-01-07,74066,4816,131,3615709,30396086
222,10,1,2026-01-07,12180,189,12,2071959,14719398
223,1,3,2026-01-08,6013,314,27,1383688,6615750
224,1,6,2026-01-08,97231,3136,343,5903994,43318791
225,1,1,2026-01-08,14447,646,89,3959275,10343404
226,2,3,2026-01-08,61267,3553,474,3803870,16117344
227,2,5,2026-01-08,58088,962,69,5485210,28855393
228,3,3,2026-01-08,36891,1758,147,959739,4678343
229,3,1,2026-01-08,45668,3239,179,6835714,23985127
230,3,4,2026-01-08,71910,4493,471,1926582,15288461
231,3,5,2026-01-08,50793,2099,363,5714368,42230448
232,4,1,2026-01-08,38550,1148,133,6677148,47106706
233,4,2,2026-01-08,14876,420,60,4444954,23485885
234,5,5,2026-01-08,46436,1222,37,4009510,25213044
235,5,4,2026-01-08,109376,3893,112,4555850,13417634
236,5,3,2026-01-08,65521,3203,93,2708176,8017246
237,5,6,2026-01-08,118278,10444,359,5283502,29283317
238,6,5,2026-01-08,63947,5319,592,1879067,8322689
239,6,6,2026-01-08,67341,3542,613,4079261,12731419
240,6,1,2026-01-08,114756,4677,628,4532463,28902440
241,7,2,2026-01-08,62595,3399,399,3352597,15881627
242,7,4,2026-01-08,42079,1853,266,5995006,36493490
243,8,6,2026-01-08,17387,988,80,2413893,16516826
244,8,3,2026-01-08,91057,7952,925,1561422,7026667
245,8,1,2026-01-08,81380,5271,878,2902412,24107953
246,8,2,2026-01-08,96551,6243,253,6246130,50768627
247,9,5,2026-01-08,111585,2743,363,6497291,55116420
248,9,4,2026-01-08,73995,1628,207,4565510,21325353
249,9,3,2026-01-08,52526,2004,345,3166658,25922292
250,10,2,2026-01-08,25308,526,81,1148430,6369351
251,10,6,2026-01-08,75748,5880,948,616648,3990684
252,10,5,2026-01-08,119870,8687,355,3460155,11852818
253,1,6,2026-01-09,111042,9183,1243,666518,3309362
254,1,5,2026-01-09,93652,6459,1131,5422045,22824464
255,2,4,2026-01-09,110987,8193,1348,1927525,9072948
256,2,2,2026-01-09,79766,7085,665,2663672,19095183
257,2,5,2026-01-09,70916,3869,675,1975185,14433773
258,2,6,2026-01-09,23140,1862,52,4331486,33546066
259,3,1,2026-01-09,15993,1155,73,4606314,15588190
260,3,5,2026-01-09,62340,1363,225,4084335,31889583
261,3,6,2026-01-09,8495,391,32,3437016,13454778
262,3,2,2026-01-09,15696,676,16,1131169,8523423
263,4,3,2026-01-09,42601,3570,341,1464277,10327614
264,4,2,2026-01-09,66487,3234,67,964593,2521468
265,4,5,2026-01-09,33266,2582,278,6400487,39383992
266,4,1,2026-01-09,60476,1411,93,2826239,9131832
267,5,4,2026-01-09,64914,1279,196,4492871,27318606
268,5,5,2026-01-09,7154,446,49,6327586,21269933
269,6,1,2026-01-09,36531,2111,105,5905392,17796983
270,6,5,2026-01-09,52265,1049,109,4555773,32885729
271,6,3,2026-01-09,71535,4046,333,4243778,11717947
272,7,3,2026-01-09,51805,3840,288,6448354,41544335
273,7,6,2026-01-09,18587,1354,186,3089368,10196327
274,7,1,2026-01-09,51176,2863,429,1768754,13234351
275,8,4,2026-01-09,13270,911,155,610242,2600030
276,8,6,2026-01-09,10741,798,129,2947409,23874678
277,8,2,2026-01-09,72552,3255,489,4271165,17169581
278,8,1,2026-01-09,103735,6588,433,6850173,19090227
279,9,3,2026-01-09,62272,5088,706,3543411,16066604
280,9,6,2026-01-09,29486,1539,153,6988160,39243096
281,9,1,2026-01-09,110008,2331,204,3912194,23921970
282,9,2,2026-01-09,112785,3218,215,1160653,3459225
283,10,3,2026-01-09,99065,4651,606,3248989,16838788
284,10,6,2026-01-09,100265,8046,614,3948545,16375927
285,10,4,2026-01-09,108740,9361,299,5647842,27884872
286,10,5,2026-01-09,72251,5424,698,561226,1883854
287,1,6,2026-01-10,13812,451,55,3337939,16012515
288,1,4,2026-01-10,79349,1382,61,4074224,33379877
289,1,1,2026-01-10,53760,2596,83,1455070,8260082
290,1,5,2026-01-10,57171,2205,142,1251675,3323797
291,2,4,2026-01-10,55723,4653,180,6800873,27623368
292,2,5,2026-01-10,63493,1974,232,6121531,48965351
293,3,2,2026-01-10,116781,2400,114,6284180,32493403
294,3,1,2026-01-10,16506,1250,218,2980896,19396805
295,3,6,2026-01-10,98000,1947,207,2816218,21426271
296,4,6,2026-01-10,34391,828,43,1464983,5743344
297,4,2,2026-01-10,69752,1183,128,3394651,18006705
298,4,3,2026-01-10,77305,1911,308,851535,3709068
299,4,4,2026-01-10,98969,6820,710,6752219,33468056
300,5,1,2026-01-10,14720,717,92,3189999,10431321
301,5,2,2026-01-10,113665,8356,1022,1826417,12979779
302,5,3,2026-01-10,21912,1039,172,764836,5727355
303,5,4,2026-01-10,72908,1930,89,3006674,24379396
304,6,3,2026-01-10,42230,3312,199,5627244,46357853
305,6,5,2026-01-10,40972,999,68,4775138,14614646
306,7,2,2026-01-10,91341,5648,928,3132158,23664017
307,7,5,2026-01-10,78874,1426,225,981346,2721047
308,7,6,2026-01-10,89076,6487,404,2068388,14689182
309,7,1,2026-01-10,59602,3657,90,5561033,32106428
310,8,3,2026-01-10,58227,2172,68,802586,2767703
311,8,4,2026-01-10,59476,3052,160,5389035,18118001
312,8,2,2026-01-10,117916,8121,1116,3197178,26703613
313,8,6,2026-01-10,22139,1595,163,1190735,5256732
314,9,1,2026-01-10,37495,958,26,3522482,27070214
315,9,3,2026-01-10,59805,2010,318,1639657,12102090
316,9,4,2026-01-10,80718,5576,280,1636661,8984603
317,10,4,2026-01-10,8037,174,14,4135528,34325377
318,10,6,2026-01-10,33199,1950,54,2660188,14549539
319,10,3,2026-01-10,115473,7398,704,4802088,12240831
320,10,2,2026-01-10,19089,903,145,6402779,30058907
321,1,3,2026-01-11,11705,676,34,4940770,20907412
322,1,1,2026-01-11,55639,2938,418,2646467,19721122
323,1,4,2026-01-11,86689,5724,223,1111023,5403374
324,2,5,2026-01-11,31090,1871,157,637682,1767539
325,2,3,2026-01-11,22961,1573,233,4656478,24408938
326,2,2,2026-01-11,84463,6924,293,5442788,24009118
327,3,5,2026-01-11,71494,5513,579,6245340,36707270
328,3,3,2026-01-11,67245,5122,404,5952297,18795136
329,3,6,2026-01-11,59596,3502,516,6384460,49368441
330,4,1,2026-01-11,90929,6703,966,5145548,19888877
331,4,5,2026-01-11,11731,689,32,5576646,38072303
332,4,4,2026-01-11,106529,8318,363,6010351,23759995
333,4,2,2026-01-11,80047,6893,259,458858,2361389
334,5,2,2026-01-11,58788,3094,364,4256113,32929147
335,5,4,2026-01-11,101447,7056,937,4651030,17413689
336,5,6,2026-01-11,47604,4277,412,3461035,15168039
337,6,4,2026-01-11,49869,2791,357,6347553,41795306
338,6,5,2026-01-11,110336,7392,869,1912828,15769400
339,7,5,2026-01-11,44008,3205,425,6090152,40986293
340,7,3,2026-01-11,46555,2373,260,6972343,47621006
341,7,2,2026-01-11,42721,1031,132,3485105,27443678
342,8,3,2026-01-11,10513,384,51,3205507,25785283
343,8,2,2026-01-11,90979,3114,300,1995069,14898597
344,8,6,2026-01-11,40537,3444,452,1451529,4580095
345,9,5,2026-01-11,92796,7691,431,2253174,6342564
346,9,2,2026-01-11,59172,2353,224,6014252,42849117
347,9,6,2026-01-11,5679,495,87,1624905,8029378
348,9,1,2026-01-11,67350,3421,177,2709586,11995354
349,10,1,2026-01-11,101821,7049,1197,1768549,8855672
350,10,6,2026-01-11,114786,3235,540,3630231,26238452
351,10,2,2026-01-11,29420,2507,436,2728224,21172270
352,10,3,2026-01-11,6214,232,27,3110536,13087175
353,1,5,2026-01-12,116550,6155,391,1244949,5582481
354,1,6,2026-01-12,100829,4982,304,1861951,4812221
355,1,4,2026-01-12,49185,3654,405,6652548,24341458
356,1,1,2026-01-12,85079,6739,1102,3887834,21739538
357,2,4,2026-01-12,29219,2589,249,2380769,6049488
358,2,1,2026-01-12,55275,1805,253,3065097,13215702
359,3,5,2026-01-12,52127,3490,104,1291741,6836371
360,3,1,2026-01-12,25934,1177,118,6201864,44151356
361,3,3,2026-01-12,95477,2272,378,2774954,13056889
362,3,4,2026-01-12,33947,1067,44,1585013,8289415
363,4,3,2026-01-12,110119,7136,392,2375890,15638230
364,4,4,2026-01-12,83094,6687,221,4047593,22945961
365,4,5,2026-01-12,52419,1093,120,818064,6113101
366,4,6,2026-01-12,71255,2149,227,1680237,7508484
367,5,4,2026-01-12,81434,4207,689,4036979,29680485
368,5,1,2026-01-12,64432,1604,138,5030429,14318717
369,5,2,2026-01-12,65604,4294,297,482623,2353121
370,5,3,2026-01-12,112014,1705,93,912616,2529533
371,6,6,2026-01-12,14046,1249,119,2708291,13414711
372,6,1,2026-01-12,105790,2661,326,6417723,40914812
373,6,5,2026-01-12,60097,2589,421,4062602,31354031
374,7,4,2026-01-12,90660,7209,281,4806850,23353368
375,7,1,2026-01-12,21691,1509,83,329136,2316155
376,7,2,2026-01-12,44107,2193,296,3857843,21957305
377,8,2,2026-01-12,50371,1341,67,6381941,45266721
378,8,4,2026-01-12,9222,698,60,6726122,54598808
379,9,2,2026-01-12,13819,311,7,5314583,34715609
380,9,6,2026-01-12,119322,2225,308,3674446,18863785
381,10,2,2026-01-12,42914,1397,232,5132763,22653050
382,10,1,2026-01-12,83370,6081,917,2287295,9859583
383,10,6,2026-01-12,23777,2114,218,3769194,16218863
384,10,3,2026-01-12,12989,737,84,6467406,51541772
385,1,6,2026-01-13,50143,4293,546,6891806,38916500
386,1,4,2026-01-13,96266,4449,195,3457976,12460034
387,1,5,2026-01-13,75507,3814,594,2822759,21580690
388,1,1,2026-01-13,23920,1804,300,5017635,24968077
389,2,5,2026-01-13,55910,1857,97,5724961,17028453
390,2,6,2026-01-13,63954,5022,174,6378257,47686641
391,2,2,2026-01-13,11755,413,52,5357676,14665487
392,3,2,2026-01-13,99936,6531,357,2052288,15837184
393,3,5,2026-01-13,48642,1835,303,2076772,16869532
394,4,1,2026-01-13,84220,5708,476,2307653,13413177
395,4,4,2026-01-13,106648,3863,365,5741869,26731600
396,4,2,2026-01-13,39283,1648,265,4209125,13013138
397,4,3,2026-01-13,99688,5005,772,2003956,9467148
398,5,1,2026-01-13,102157,2650,163,5199214,31064563
399,5,5,2026-01-13,59732,2218,113,2229536,10655038
400,5,2,2026-01-13,114230,3818,412,6044909,27355544
401,6,6,2026-01-13,27050,1892,144,1474057,10055841
402,6,4,2026-01-13,69004,1987,322,5683887,46854675
403,6,5,2026-01-13,73674,1292,200,5905398,16482475
404,7,4,2026-01-13,115434,7191,222,1566928,4003264
405,7,2,2026-01-13,71287,3507,104,5649655,36725742
406,8,4,2026-01-13,74758,4214,92,4741077,32396520
407,8,6,2026-01-13,75220,6642,151,6154066,40273424
408,8,1,2026-01-13,110666,9459,460,1107939,6255769
409,8,5,2026-01-13,36584,1075,112,3273267,13433318
410,9,1,2026-01-13,65161,3738,666,2194627,9436562
411,9,3,2026-01-13,113535,8922,1111,5751709,40592773
412,9,4,2026-01-13,17255,783,62,4293020,12177965
413,10,6,2026-01-13,15837,831,74,6879825,30874065
414,10,2,2026-01-13,117454,10340,1687,656950,2548045
415,1,5,2026-01-14,14744,978,63,4855271,28554136
416,1,4,2026-01-14,9312,264,41,431349,3566745
417,1,3,2026-01-14,81943,2115,320,3641149,29395904
418,1,1,2026-01-14,44226,1202,70,3564482,23390878
419,2,3,2026-01-14,99917,2086,290,3201279,9034581
420,2,4,2026-01-14,62290,2018,64,5376523,38248766
421,2,2,2026-01-14,83067,3717,534,548518,3458262
422,2,6,2026-01-14,107701,9633,948,3284760,19111477
423,3,4,2026-01-14,16232,1183,79,2367370,16047575
424,3,2,2026-01-14,15752,552,44,6875748,43340626
425,3,6,2026-01-14,101948,4508,350,1067729,2702605
426,4,4,2026-01-14,18399,458,22,4065173,23748375
427,4,3,2026-01-14,72166,3291,79,3268848,19042081
428,4,5,2026-01-14,83240,4982,358,3531609,9090515
429,5,4,2026-01-14,79967,4324,560,1721883,5739105
430,5,1,2026-01-14,44469,1562,67,1702637,8697167
431,5,2,2026-01-14,60194,2256,327,3329335,13351293
432,6,6,2026-01-14,82831,5073,473,1436568,6217391
433,6,4,2026-01-14,56864,2269,270,3064396,15755094
434,7,6,2026-01-14,44378,1732,297,1984864,10666775
435,7,5,2026-01-14,28283,2470,432,2744844,18964802
436,7,2,2026-01-14,87955,4558,511,2333602,10396937
437,8,4,2026-01-14,78905,2365,424,1809338,11924036
438,8,3,2026-01-14,77102,1312,178,6242213,23457552
439,8,1,2026-01-14,109554,4037,528,6974453,50706182
440,9,4,2026-01-14,38119,2454,329,6919255,32949111
441,9,2,2026-01-14,63860,5702,551,3662196,20897238
442,9,3,2026-01-14,118984,7957,851,6933047,57617560
443,9,1,2026-01-14,96964,7966,843,5653444,45150707
444,10,2,2026-01-14,26802,1702,46,5710913,37491180
445,10,3,2026-01-14,57378,5021,366,6979270,35473767
446,1,1,2026-01-15,34098,1817,187,5169740,34254627
447,1,3,2026-01-15,33971,1645,135,6778876,44586924
448,2,5,2026-01-15,68277,1559,134,1020202,3260990
449,2,2,2026-01-15,100702,2580,180,4119606,29684315
450,2,3,2026-01-15,73303,3754,361,3975602,27161168
451,2,1,2026-01-15,64303,2502,170,6262446,19980406
452,3,6,2026-01-15,102057,3397,162,1643315,7371809
453,3,1,2026-01-15,60885,5289,301,3697784,23216765
454,3,2,2026-01-15,29430,1855,165,544882,3772942
455,4,4,2026-01-15,61302,2707,359,2026245,8449581
456,4,5,2026-01-15,97243,7356,220,1153558,8417529
457,5,2,2026-01-15,64972,1529,194,4406089,24966178
458,5,3,2026-01-15,88769,3418,280,3592897,21636527
459,5,5,2026-01-15,50603,2094,195,1747265,12899060
460,5,1,2026-01-15,97535,7319,1222,5250691,15796765
461,6,3,2026-01-15,36270,1374,67,6116967,20480530
462,6,1,2026-01-15,55916,2592,109,3518792,17728492
463,7,6,2026-01-15,77733,2138,141,1869496,8202376
464,7,5,2026-01-15,64113,3940,624,380391,2057022
465,7,2,2026-01-15,30575,2328,405,4539921,29139113
466,8,6,2026-01-15,98079,7649,751,993491,5854033
467,8,4,2026-01-15,109317,7879,525,2605633,10029239
468,8,5,2026-01-15,42836,1182,110,6528694,46584097
469,9,5,2026-01-15,80066,1886,271,3377459,19428023
470,9,6,2026-01-15,104193,1888,254,4883143,18610886
471,9,1,2026-01-15,60725,1377,210,6602742,26313179
472,10,4,2026-01-15,50688,4038,136,1284705,9190509
473,10,3,2026-01-15,36056,1108,152,6080871,27995022
474,1,5,2026-01-16,23249,1717,257,797929,4724095
475,1,4,2026-01-16,74767,2697,286,3015003,25247637
476,1,2,2026-01-16,43356,1591,99,4615225,38827563
477,1,3,2026-01-16,94037,7159,298,6592245,47557419
478,2,3,2026-01-16,96937,7750,464,6267612,27781693
479,2,2,2026-01-16,37447,2700,346,4405877,14773036
480,3,3,2026-01-16,14898,931,149,1080935,5315070
481,3,4,2026-01-16,103278,3704,628,3395993,17754841
482,3,5,2026-01-16,68968,2727,55,6793917,51518299
483,3,2,2026-01-16,17208,1201,112,5871242,39241818
